Country Name,Country Code,Series,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019]
St. Martin (French part),MAF,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Somalia,SOM,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Somalia,SOM,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Solomon Islands,SLB,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Solomon Islands,SLB,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Sint Maarten (Dutch part),SXM,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Sint Maarten (Dutch part),SXM,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Slovenia,SVN,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Slovenia,SVN,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Slovak Republic,SVK,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Slovak Republic,SVK,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Singapore,SGP,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Singapore,SGP,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Sierra Leone,SLE,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Sierra Leone,SLE,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Serbia,SRB,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Serbia,SRB,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
San Marino,SMR,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
San Marino,SMR,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Rwanda,RWA,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,0.89321,..
Rwanda,RWA,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,0.81587,..
Romania,ROU,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Romania,ROU,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Saudi Arabia,SAU,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Saudi Arabia,SAU,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Senegal,SEN,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,0.5331,..,..
Senegal,SEN,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,0.77391,..,..
Seychelles,SYC,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Seychelles,SYC,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Sao Tome and Principe,STP,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Sao Tome and Principe,STP,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Samoa,WSM,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Samoa,WSM,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Russian Federation,RUS,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Russian Federation,RUS,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Qatar,QAT,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Qatar,QAT,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Puerto Rico,PRI,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Puerto Rico,PRI,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Poland,POL,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Poland,POL,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Portugal,PRT,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Portugal,PRT,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Philippines,PHL,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Philippines,PHL,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Panama,PAN,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,0.95961,..
Panama,PAN,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,0.91123,..
Paraguay,PRY,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,0.98046,..
Paraguay,PRY,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,0.94954,..
Pakistan,PAK,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,0.53431,..,..
Pakistan,PAK,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,0.77336,..,..
Peru,PER,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,0.82651,0.83623,..
Peru,PER,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,0.94201,0.94081,..
Papua New Guinea,PNG,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Papua New Guinea,PNG,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Palau,PLW,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Palau,PLW,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Oman,OMN,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Oman,OMN,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Norway,NOR,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Norway,NOR,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Northern Mariana Islands,MNP,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Northern Mariana Islands,MNP,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
North America,NAC,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
North America,NAC,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Niger,NER,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Niger,NER,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
New Zealand,NZL,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
New Zealand,NZL,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
